TIME	ALTITUDE	ORIENTATION_X	ORIENTATION_Y	ORIENTATION_Z	ANGVELOCITY_X	ANGVELOCITY_Y	ANGVELOCITY_Z	LINEARACCEL_X	LINEARACCEL_Y	LINEARACCEL_Z	MAGNETOMETER_X	MAGNETOMETER_Y	MAGNETOMETER_Z	ACCELEROMETER_X	ACCELEROMETER_Y	ACCELEROMETER_Z	GRAVITY_X	GRAVITY_Y	GRAVITY_Z	
1168948 -2.91	299.38	84.94	-177.38	0.00	-0.01	-0.03	-0.07	0.07	-0.22	-44.19	10.75	-24.56	9.69	0.52	-0.95	9.76	0.44	-0.73	
1169025 -2.93	299.44	84.81	-177.25	0.02	-0.02	-0.03	-0.06	-0.05	0.27	-44.19	10.38	-22.88	9.70	0.41	-0.46	9.76	0.46	-0.74	
1169102 -2.84	299.56	84.62	-177.06	-0.00	-0.05	-0.04	-0.07	-0.04	0.10	-43.50	11.19	-24.19	9.68	0.44	-0.65	9.76	0.49	-0.76	
1169181 -2.82	299.75	84.38	-176.88	-0.00	-0.05	-0.04	-0.07	-0.03	0.00	-43.38	10.75	-23.69	9.68	0.48	-0.79	9.75	0.52	-0.80	
1169258 -2.80	299.88	84.06	-176.75	0.01	-0.07	-0.05	-0.05	-0.03	0.00	-44.56	10.75	-23.38	9.70	0.52	-0.83	9.75	0.55	-0.84	
1169336 -2.82	300.12	83.69	-176.50	0.00	-0.05	-0.05	-0.08	0.14	-0.22	-44.19	10.75	-24.19	9.66	0.73	-1.11	9.74	0.59	-0.89	
1169413 -2.86	300.38	83.44	-176.31	0.02	-0.04	-0.00	-0.05	0.21	0.09	-44.56	10.06	-24.19	9.68	0.84	-0.83	9.74	0.62	-0.92	
1169492 -2.82	300.38	83.25	-176.31	0.00	-0.02	0.03	-0.07	0.05	-0.22	-43.75	10.06	-22.88	9.66	0.67	-1.18	9.73	0.62	-0.96	
1169568 -2.81	300.25	83.25	-176.44	0.01	0.00	0.04	-0.05	-0.09	-0.01	-44.56	10.06	-25.00	9.68	0.50	-0.99	9.73	0.60	-0.97	
1169647 -2.75	300.06	83.38	-176.62	-0.00	-0.01	0.02	-0.05	-0.25	0.04	-45.25	10.38	-22.50	9.68	0.36	-0.97	9.74	0.57	-0.97	
1169726 -2.78	300.06	83.38	-176.62	-0.01	-0.01	0.01	-0.05	0.02	0.03	-44.56	10.75	-23.69	9.68	0.59	-0.93	9.74	0.56	-0.97	
